Title,???,Topic,???,Content,???,Course,???,Order,***
HTML Elements,???,HTML,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_03_HTML_elements1.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_03_HTML_elements1.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vSDs3eYyT8-Bsu8y1WhWuBrncAfEOZ7WEbNSfK_XhFapOWmXTfi-PFbncVQYx1YQIAw4Ku35VkwtpEO/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your task</h2>
Review the tags we used in this video and add some content to your website. Add headings, paragraphs and lists. Don't forget to play also with &lt;br&gt; and &lt;hr&gt; tags.
<h2>Additional readings</h2>
Read more about <a href=""https://developer.mozilla.org/en-US/docs/Web/HTML/Element/Heading_Elements"" target=""_blank"" rel=""noopener noreferrer"">how to use headings</a>.
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,4,***
Images,???,HTML,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_04_HTML_Images.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_04_HTML_Images.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTsu6PBqip6g8KyIOVltf40IJZshNVaqXK8q2z1xlrMZmOnDB5psh8Zl8LQ6HKwDUvHNr48pttUslJB/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your tasks</h2>
<h3>1. Add folder images to your root folder</h3>
Place one image from your computer to your ‘images’ folder, so that you can add it to the website later.
<h3>2. Add two images to your image folder</h3>
<ul>
 	<li>One from the internet, you can use this one: <a href=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/cat.JPG"">https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/cat.JPG</a></li>
 	<li>One from your computer</li>
</ul>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,5,***
Links,???,HTML,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_05_HTML_Links.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_05_HTML_Links.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vSe3myN3StjTMdITwmaUwAXeSGFCKGb8ubOCJuXniROrIWIOE5DAZACbfYZC1Gb6GpkraZsomKCRotS/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your task</h2>
Add two links:
<ul>
 	<li>One will open in the same window and one in the new window.</li>
 	<li>One link should be a text and the other one an image.</li>
</ul>
<h2>Additional readings</h2>
Read more about <a href=""https://developer.mozilla.org/en-US/docs/Web/HTML/Element/Heading_Elements"" target=""_blank"" rel=""noopener noreferrer"">how to use headings</a>.
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,6,***
Q&A 1,???,Q&A ,???,"<video class=""course-video"" controls=""controls"" width=""300"" height=""150""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>&lt; source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/QandA-10-Nov-2020.mp4"" type=""video/mp4"" /&gt;<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/QandA-10-Nov-2020.webm"" type=""video/webm"" /> <span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>
</video>

Here are some resources I mentioned in the video:
<h2>Firefox as a browser</h2>
<a href=""https://itsfoss.com/why-firefox/"" target=""_blank"" rel=""noopener noreferrer"">Why Firefox?</a>

It's actually an open-source project, you can see most of the code here: <a href=""https://github.com/mozilla"" target=""_blank"" rel=""noopener noreferrer"">https://github.com/mozilla</a>
<h2>Spacing lines between code</h2>
You can also have a look at code examples in <a href=""https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML/Document_and_website_structure"" target=""_blank"" rel=""noopener noreferrer"">this article</a> from MDN Web Docs. You see that they use more empty lines around comments in the first example. In the second example, there are no empty lines. So it really boils down to readability. And main concern is to maintain correct indentation.
<h2>How to turn off autocompletion and selection in Visual Studio Code</h2>
You go to <em>Code/Preferences/Settings/Text editor/Suggestions/Edit settings.json</em>

and you add these lines before the ending }
<blockquote>""editor.quickSuggestions"": false,
""editor.suggestOnTriggerCharacters"": false,
""editor.wordBasedSuggestions"": false,
""editor.parameterHints.enabled"": false</blockquote>
Here's the <a href=""https://code.visualstudio.com/Docs/languages/html"" target=""_blank"" rel=""noopener noreferrer"">Visual Studio Code documentation</a>.
<h2>What's xhtml?</h2>
<a href=""https://www.w3schools.com/tags/att_html_xmlns.asp"" target=""_blank"" rel=""noopener noreferrer"">https://www.w3schools.com/tags/att_html_xmlns.asp</a>

<a href=""https://www.w3schools.com/html/html_xhtml.asp"" target=""_blank"" rel=""noopener noreferrer"">https://www.w3schools.com/html/html_xhtml.asp</a>

<a href=""https://www.w3schools.com/xml/xml_whatis.asp"" target=""_blank"" rel=""noopener noreferrer"">https://www.w3schools.com/xml/xml_whatis.asp</a>",???,web,???,7,***
CSS,???,CSS,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_06_CSS.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_06_CSS.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQ9uVMsFdFaD8vn54jU4ymPSksnCAVVF4RAa-vFGHuUdJnU5fr1FAr8JHboTZIdEuxMM8U12AvbuiB0/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your tasks</h2>
<h3>1. Create a folder 'css' with the file inside called 'styles.css'</h3>
<h3>2. Play with the code pen and try various CSS properties which style text:</h3>
https://www.w3schools.com/css/css_text.asp
<h3>3. Add styles to your first website.</h3>
Use:
<ul>
 	<li>Element selector</li>
 	<li>Class selector</li>
 	<li>Id selector</li>
</ul>
<h2>Additional readings</h2>
Here are short articles about:
<ul>
 	<li><a href=""https://www.w3schools.com/css/css_syntax.asp"" target=""_blank"" rel=""noopener noreferrer"">CSS syntax</a></li>
 	<li><a href=""https://www.w3schools.com/css/css_selectors.asp"" target=""_blank"" rel=""noopener noreferrer"">CSS selectors</a></li>
 	<li><a href=""https://www.w3schools.com/css/css_text.asp"" target=""_blank"" rel=""noopener noreferrer"">CSS text formatting</a></li>
</ul>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,8,***
Box model,???,CSS,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_07_Box_model.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_07_Box_model.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vR0Pt3jcnWiSXeTdud5VxkSQdI089_vrJR1W5_3Ejh77IrnrPKsO2kkS4EgnczcRxyu9PJRgKgSoaez/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your task</h2>
Go to your <a href=""https://codepen.io"" target=""_blank"" rel=""noopener noreferrer"">Codepen</a> and set different values to margin and padding.
<h2>Tools</h2>
Here's the <a href=""https://codepen.io/hhar/pen/bGeQzaJ"" target=""_blank"" rel=""noopener noreferrer"">codepen from the video</a>.
<h2>Additional readings</h2>
Here are short articles about:
<ul>
 	<li><a href=""https://www.w3schools.com/css/css_boxmodel.asp"" target=""_blank"" rel=""noopener noreferrer"">Box model</a></li>
 	<li><a href=""https://www.w3schools.com/css/css3_box-sizing.asp"" target=""_blank"" rel=""noopener noreferrer"">Box sizing</a></li>
</ul>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,9,***
Border,???,CSS,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_08_Border.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_08_Border.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vS2vrh0JyxWUSlbMh_qdF2r0kh1RfU4MmoO0LxsGCQuzRXfxCgHPyqEYBGcFgmwn064Gr2SGIPEy1Xf/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your task</h2>
Go to your <a href=""https://codepen.io"" target=""_blank"" rel=""noopener noreferrer"">Codepen</a> and add three different styles of the border to your divs.
<h2>Tools</h2>
Here's the <a href=""https://codepen.io/hhar/pen/bGeQzaJ"" target=""_blank"" rel=""noopener noreferrer"">codepen from the video</a>.
<h2>Additional readings</h2>
<a href=""https://www.w3schools.com/css/css_border_rounded.asp"" target=""_blank"" rel=""noopener noreferrer"">Rounded border and all border properties</a>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,10,***
Units,???,CSS,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_09_Unit_Sizes.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_09_Unit_Sizes.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vQZ3fwUXXWs7lXt9KGIY6NRdBOyEuXvkOmAYfh_j7I0oTgCGT2E-ptn_kdwJx_jC53R_LvIJV_LrORg/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Your task</h2>
Open the codepen and change the sizes of fonts and divs.
<ul>
 	<li>Fonts:<a href=""https://codepen.io/hhar/pen/MMmxRB"" target=""_blank"" rel=""noopener noreferrer"">https://codepen.io/hhar/pen/MMmxRB</a></li>
 	<li>Divs: <a href=""https://codepen.io/hhar/pen/zYBbmQG"" target=""_blank"" rel=""noopener noreferrer"">https://codepen.io/hhar/pen/zYBbmQG</a></li>
 	<li>Hero: <a href=""https://codepen.io/hhar/pen/xxZBWvM"" target=""_blank"" rel=""noopener noreferrer"">https://codepen.io/hhar/pen/xxZBWvM</a></li>
</ul>
<h2>Additional readings</h2>
Size units can be complicated, if you'd like to read more, here are some resources:
<ul>
 	<li><a href=""https://developer.mozilla.org/en-US/docs/Learn/CSS/Building_blocks/Values_and_units#Relative_length_units"" target=""_blank"" rel=""noopener noreferrer"">MDN on relative units</a></li>
 	<li><a href=""https://webdesign.tutsplus.com/tutorials/comprehensive-guide-when-to-use-em-vs-rem--cms-23984"" target=""_blank"" rel=""noopener noreferrer"">Guide on units</a></li>
</ul>
Just remember, don't go down the rabbit hole. With the time you'll get it :)
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,11,***
Google Fonts,???,"Adding fonts, icons and favicon",???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_10_Google_Fonts.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_10_Google_Fonts.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTf7U_uPc1a2XXvbaG_lgiEtxl0n32ToBeZ1C4VgFgJa_geuZsuJe-YkFjYoruQKksTU9Y4t0oOcSRm/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span></iframe>
<h2>Your task</h2>
Select two fonts which you’d like to use on your website from <a href=""https://fonts.google.com/"" target=""_blank"" rel=""noopener noreferrer"">Google Fonts</a> (they're free for personal and commercial use).
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,12,***
Font Awesome,???,"Adding fonts, icons and favicon",???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_11_Font_Awesome.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_11_Font_Awesome.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRQI7pYFdUsMseAoYd5DW8UmmYMVXeaVVmtAeCCYACjosSv4bEH5JivWlDopk6qfJ0wRSDKHWvzLIXm/embed?start=false"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h2>Code snippet to add</h2>
Add this code snippet before &lt;/body&gt; tag:

&lt;script src=""https://kit.fontawesome.com/fc08c5bc44.js"" crossorigin=""anonymous""&gt;&lt;/script&gt;
<h2>Your tasks</h2>
<h3>1. Go ahead and place three icons on your website.</h3>
<ul>
 	<li><a href=""https://fontawesome.com/icons"" target=""_blank"" rel=""noopener noreferrer"">https://fontawesome.com/icons</a></li>
</ul>
<h3>2. ...what’s your favourite icon? Tell us on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> ;-)</h3>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,13,***
